insee;nom;altitude;code_postal;longitude;latitude;pop99;surface;departement;region;indicatif
65375;Rabastens-de-Bigorre;215;65140;0.0026228459286323;0.75724502198687;1336;9.33;65;MP;5
65376;Recurt;500;65330;0.0076212768025477;0.75425855314046;201;13.61;65;MP;5
65377;Réjaumont;480;65300;0.0078782245142132;0.75330347699451;176;6.71;65;MP;5
65378;Ricaud;290;65190;0.0046493653564117;0.75308050383226;54;3.33;65;MP;5
65379;Ris;1100;65590;0.0069667784370796;0.74853781680285;12;1.82;65;MP;5
65380;Sabalos;344;65350;0.0024579996381224;0.75546576406258;106;2.16;65;MP;5
65381;Sabarros;460;65330;0.0076164248559367;0.75462220778731;39;3.71;65;MP;5
65382;Sacoué;600;65370;0.009861110232156;0.75029277338219;54;13.33;65;MP;5
65383;Sadournin;330;65220;0.0069958557869345;0.75598934153289;176;12.59;65;MP;5
65384;Sailhan;920;65170;0.0058323144648951;0.74734512010866;105;2.72;65;MP;5
65385;Saint-Arroman;560;65250;0.007015246408473;0.75127215087306;105;4.36;65;MP;5
65386;Saint-Créac;429;65100;-0.00025209535868833;0.75153393960823;115;2.18;65;MP;5
65387;Saint-Lanne;178;65700;-0.0010423455161603;0.76085207394629;119;13.01;65;MP;5
65388;Saint-Lary-Soulan;820;65170;0.0056335386178451;0.74730151084581;1024;91.94;65;MP;5
65389;Saint-Laurent-de-Neste;467;65150;0.0084454565003053;0.75183447733724;839;10.61;65;MP;5
65390;Saint-Lézer;250;65500;0.00055752796283308;0.75697837298272;333;11.47;65;MP;5
65391;Sainte-Marie;480;65370;0.0108258933922;0.75002612437804;27;0.25;65;MP;5
65392;Saint-Martin;391;65360;0.0015223111228766;0.75330833726351;328;8.27;65;MP;5
65393;Saint-Pastous;560;65400;-0.0010326589828996;0.75077760185863;109;7.83;65;MP;5
65394;Saint-Paul;480;65150;0.0088623977756466;0.75189752767604;232;6.94;65;MP;5
65395;Saint-Pé-de-Bigorre;360;65270;-0.0028022308940694;0.7523144455447;1257;42.96;65;MP;5
65396;Saint-Savin;543;65400;-0.0015514057676742;0.75013764424869;353;3.93;65;MP;5
